responseid;submitdate;age;gender;nationality;familiar_curriculum;familiar_statutes;info_access_online;interest_classes;onboarding;onboarding_free_text;ed_agree_YN;mentor_YN;registrars_office;deans_office;docschool;phd_office;international_office;welcome_center;phd_union;staff_development;ft_house;service_non_above;SUPERVISOR_safe1;SUPERVISOR_safe2;SUPERVISOR_safe3;SUPERVISOR_safe4;SUPERVISOR_safe5;SUPERVISOR_commit1;SUPERVISOR_commit2;SUPERVISOR_commit3;SUPERVISOR_commit4;SUPERVISOR_reflect1;SUPERVISOR_reflect2;SUPERVISOR_reflect3;SUPERVISOR_model1;SUPERVISOR_model2;SUPERVISOR_model3;SUPERVISOR_feedback1;SUPERVISOR_feedback2;dual_supervision;supervision_free_text;nonrelevant_projects;external_collab;encourage_collab;TEAM_collab1;TEAM_collab2;TEAM_collab3;TEAM_comp1;TEAM_comp2;TEAM_comp3;INTEGRATE_group;INTEGRATE_institute;INTEGRATE_docschool;INTEGRATE_phd;INTEGRATE_uni;teaching_hours;lectures_YN;hours_contract;working_hours;CIRCUM_carechild;CIRCUM_careother;CIRCUM_health;CIRCUM_financial;CIRCUM_social;CIRCUM_life;CIRCUM_none;CIRCUM_notsay;CIRCUM_free_text;DEPRESS_1;DEPRESS_2;DEPRESS_3;DEPRESS_4;DEPRESS_5;DEPRESS_6;DEPRESS_7;ANXIETY_1;ANXIETY_2;ANXIETY_3;ANXIETY_4;ANXIETY_5;ANXIETY_6;ANXIETY_7;STRESS_1;STRESS_2;STRESS_3;STRESS_4;STRESS_5;STRESS_6;STRESS_7;harass_exp_YN;harass_nationality;harass_gender;harass_race;harass_age;harass_religion;harass_height;harass_weight;harass_physicalother;harass_sexualorient;harass_socoec;harass_disability;harass_notsay;harass_witness_YN;jobloss_threat;international_pressure;enrol;graduate;docschool_stud;employ_status;employ_status_other;free_text_end;time_spent;nationality_new
35;2024-12-16 20:24:19;40;Other;Austria;2;0;4;1;4;Lorem ipsum.;No unaware existence;No need;Yes;Yes;Yes;No;No;No;No;No;No;No;3;1;5;2;4;0;4;1;0;4;0;5;1;3;5;3;0;Official;Lorem ipsum.;4;4;0;1;5;3;3;4;0;3;0;0;5;1;22;Yes;21-30;22;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Lorem ipsum.;2;0;0;2;3;1;0;1;0;3;3;2;2;1;3;2;2;2;3;3;3;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;;2019-02-09 10:01:34;2026-07-12 11:11:24;Architecture;Other;Lorem ipsum.;Lorem ipsum.;1174;Austria
36;2024-12-02 17:35:49;34;Woman;International;0;2;0;0;5;Lorem ipsum.;No missing signature;No unaware definition;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;4;0;4;3;5;0;0;3;3;2;3;0;2;1;0;2;4;Official;Lorem ipsum.;4;4;5;3;4;1;5;4;1;5;5;3;4;3;11;Yes;21-30;46;Yes;Yes;No;No;No;No;Yes;Yes;;3;3;1;3;1;2;0;2;0;0;0;1;1;0;1;1;0;2;2;0;2;No;Yes;No;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;2018-10-14 15:33:02;2024-12-18 19:59:57;Not say;ProjectAss TU;;Lorem ipsum.;869;International
37;2024-11-01 22:55:34;39;Not say;International;4;2;1;5;2;Lorem ipsum.;No unaware graduation;No need;No;Yes;Yes;Yes;No;Yes;No;No;No;No;0;2;1;2;1;0;2;3;0;1;1;3;2;3;0;0;3;Official;Lorem ipsum.;5;3;0;3;4;0;2;0;1;0;5;0;1;2;1;No;21-30;45;Yes;Yes;No;Yes;Yes;No;No;No;Lorem ipsum.;3;0;0;3;1;3;2;2;2;3;2;0;0;2;0;2;0;3;0;0;2;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;2020-03-22 13:19:44;2025-03-07 21:17:48;Molecular Biosciences and Biotechnology;ProjectAss TU;;Lorem ipsum.;1084;International
38;2024-11-27 12:07:11;20;Other;International;0;4;0;0;2;Lorem ipsum.;No unaware graduation;No conflict supervisor;No;No;Yes;Yes;No;Yes;No;No;No;No;2;0;4;5;4;3;3;1;3;1;2;5;1;2;1;0;4;Equal;Lorem ipsum.;4;3;5;4;2;3;3;3;2;1;4;4;4;0;10;Yes;31-40;7;Yes;Yes;Yes;Yes;No;No;Yes;No;Lorem ipsum.;3;3;0;1;0;0;3;2;3;1;1;0;3;2;0;1;0;1;3;0;2;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;2018-10-07 06:11:06;2029-11-03 05:30:29;Biomedical Engineering;Personal funds;;Lorem ipsum.;936;International
39;2024-11-10 23:10:19;30;Woman;International;0;4;2;2;3;Lorem ipsum.;Yes more than one year;Yes;No;No;No;No;No;Yes;No;No;Yes;Yes;1;3;0;2;2;4;1;2;5;0;4;5;2;2;1;1;4;Unofficial;Lorem ipsum.;3;5;5;3;2;1;2;4;2;5;3;0;5;0;27;Yes;No employee;5;Yes;No;Yes;No;Yes;Yes;No;Yes;Lorem ipsum.;3;0;2;3;2;3;1;2;1;2;2;0;0;0;3;1;2;1;0;2;2;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;2023-10-24 13:40:22;2025-11-23 18:32:07;Geosciences;Other;Lorem ipsum.;Lorem ipsum.;749;International
40;2024-11-06 12:40:59;33;Other;Austria;2;3;2;5;3;Lorem ipsum.;No unaware existence;No need;Yes;Yes;No;No;Yes;No;No;No;Yes;No;1;0;0;5;0;2;5;3;1;2;2;0;5;1;2;0;5;Official;Lorem ipsum.;1;3;0;2;3;3;5;5;3;0;2;3;5;3;29;No;21-30;8;Yes;No;No;Yes;Yes;No;Yes;Yes;Lorem ipsum.;3;2;0;0;1;0;1;3;2;0;3;2;1;3;3;0;1;2;1;1;3;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;;2020-07-29 18:30:43;2029-01-22 08:11:14;Not say;Scholarship;;Lorem ipsum.;1536;Austria
41;2024-12-05 03:46:23;38;Woman;Austria;4;5;3;2;3;Lorem ipsum.;No missing signature;No unaware possibility;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;5;2;2;2;4;0;4;1;5;0;3;2;0;5;4;5;1;Official;Lorem ipsum.;3;1;3;4;2;4;1;1;3;2;3;0;2;2;17;No;<20;5;Yes;No;No;No;No;Yes;Yes;No;;3;0;2;2;3;3;2;2;2;0;1;2;3;3;3;1;0;3;3;1;0;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;No;;2019-08-10 05:04:35;2025-10-30 16:59:18;Not say;Second job;;Lorem ipsum.;1281;Austria
42;2024-12-08 04:24:59;21;Man;Germany;4;5;1;5;5;Lorem ipsum.;Yes year one;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;2;3;1;2;5;2;0;1;5;1;1;3;2;4;3;0;4;Official;Lorem ipsum.;2;5;5;2;2;3;2;5;4;1;2;1;3;2;17;No;31-40;11;Yes;No;No;No;Yes;No;No;No;Lorem ipsum.;0;0;0;2;0;2;2;3;1;1;3;3;3;2;0;2;3;2;3;2;3;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;Yes;;2019-04-18 17:42:25;2025-01-26 18:21:33;Geosciences;UnivAss;;Lorem ipsum.;1838;Germany
43;2024-10-31 03:24:39;26;Woman;Austria;1;3;3;5;0;Lorem ipsum.;No unaware existence;No unaware possibility;No;Yes;Yes;No;Yes;No;No;No;Yes;Yes;4;5;5;0;3;3;3;5;2;1;3;1;3;4;5;3;5;Unofficial;Lorem ipsum.;4;0;4;1;0;0;5;5;2;5;5;1;0;4;11;Yes;<20;35;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Lorem ipsum.;2;2;2;0;3;2;3;3;3;2;3;3;3;3;2;2;0;1;0;0;3;No;No;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;No;;2022-06-30 13:54:34;2027-10-16 16:09:10;Chemistry;Other;Lorem ipsum.;Lorem ipsum.;1177;Austria
44;2024-11-15 20:06:57;28;Man;International;2;3;3;4;0;Lorem ipsum.;Yes year one;No unaware definition;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;0;1;1;4;3;0;1;5;3;2;1;0;4;4;3;4;3;Unofficial;Lorem ipsum.;3;0;4;2;2;3;0;3;4;5;5;2;5;2;15;No;21-30;2;Yes;Yes;No;No;Yes;Yes;No;No;;3;1;3;3;2;2;3;2;1;2;2;2;1;1;0;0;3;3;2;2;3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;2021-01-16 19:31:21;2024-09-08 07:33:03;Chemistry;ProjectAss TU;;Lorem ipsum.;1280;International
45;2024-11-19 16:29:24;28;Man;Austria;0;4;5;4;0;Lorem ipsum.;No unaware existence;No unaware possibility;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;2;3;2;0;1;0;1;5;2;2;5;1;4;5;5;1;2;Equal;Lorem ipsum.;5;0;4;1;2;5;0;2;2;3;5;1;5;3;0;No;<20;39;No;Yes;No;Yes;No;Yes;Yes;Yes;;0;1;0;2;3;0;1;2;1;1;2;3;2;3;1;2;2;0;3;3;0;No;Yes;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;;2019-03-04 20:07:36;2026-09-23 21:25:20;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;1490;Austria
46;2024-10-28 03:47:24;24;Other;International;5;4;1;4;5;Lorem ipsum.;Yes year one;No conflict supervisor;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;0;5;4;0;3;0;4;5;3;2;0;0;4;2;0;1;4;Official;Lorem ipsum.;3;5;2;2;2;0;4;5;5;4;5;0;4;4;7;Yes;No employee;13;Yes;No;No;No;Yes;Yes;Yes;Yes;Lorem ipsum.;1;3;1;1;3;1;3;0;1;2;1;0;1;2;1;2;1;0;0;1;0;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;No;Yes;2019-05-26 02:08:13;2028-06-05 03:17:33;Chemical and Process Engineering;Not say;;Lorem ipsum.;1843;International
47;2024-12-10 11:38:37;24;Not say;International;2;4;2;4;4;Lorem ipsum.;No unaware existence;No need;No;Yes;No;Yes;No;Yes;No;No;No;Yes;5;1;0;0;4;4;1;2;3;5;2;3;1;3;1;4;1;Official;Lorem ipsum.;4;4;4;2;3;2;4;1;3;2;2;1;5;3;7;Yes;21-30;2;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;3;1;3;0;0;0;3;1;1;3;1;1;3;2;0;2;1;2;3;0;2;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;Yes;No;Yes;2021-07-18 21:42:13;2027-09-23 11:44:18;Electrical Engineering;Other;Lorem ipsum.;Lorem ipsum.;1794;International
48;2024-11-20 01:06:47;33;Woman;International;3;5;2;3;2;Lorem ipsum.;No unaware graduation;No unaware possibility;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;2;0;5;2;5;5;1;4;0;3;1;2;1;5;1;5;5;Equal;Lorem ipsum.;5;5;0;5;2;4;2;5;2;0;5;4;5;0;29;Yes;No employee;6;Yes;Yes;Yes;Yes;No;Yes;Yes;No;;2;3;3;1;0;1;1;2;1;0;1;0;0;3;1;0;0;2;3;1;0;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;2019-10-14 09:35:43;2028-03-27 05:29:47;Molecular Biosciences and Biotechnology;ProjectAss Center;;Lorem ipsum.;557;International
49;2024-12-18 15:46:31;23;Man;International;3;1;1;3;1;Lorem ipsum.;No unaware existence;No unaware definition;Yes;No;Yes;No;No;No;Yes;Yes;No;Yes;0;3;1;3;3;3;0;4;3;1;2;3;5;0;2;4;1;Official;Lorem ipsum.;5;1;0;3;2;4;2;5;3;3;0;2;3;3;5;No;<20;36;Yes;No;Yes;Yes;No;No;Yes;No;Lorem ipsum.;2;1;1;3;2;1;1;2;2;2;2;0;2;0;2;2;2;0;0;2;2;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;No;2021-05-20 20:58:42;2026-04-23 16:54:16;Geosciences;Scholarship;;Lorem ipsum.;1972;International
50;2024-12-02 13:16:41;21;Not say;Germany;2;2;1;1;1;Lorem ipsum.;No unaware graduation;No need;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;2;4;1;1;3;1;4;5;3;5;3;3;2;2;1;3;3;Equal;Lorem ipsum.;1;0;1;3;3;5;5;1;3;0;0;2;0;0;9;No;<20;43;No;No;Yes;No;No;No;Yes;No;;2;2;3;0;1;1;0;2;3;3;3;3;3;2;3;1;3;3;1;2;1;Yes;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;Yes;;2022-10-24 14:54:23;2024-10-11 21:56:15;Information and Communications Engineering;Second job;;Lorem ipsum.;578;Germany
51;2024-12-14 06:24:04;40;Man;International;4;1;0;2;0;Lorem ipsum.;No year one;No unaware possibility;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;2;1;3;4;0;4;3;5;1;0;0;2;2;2;0;3;3;Official;Lorem ipsum.;1;1;4;5;1;1;5;5;5;5;4;4;3;2;0;Yes;<20;49;No;No;No;No;No;No;Yes;No;Lorem ipsum.;2;0;0;0;0;2;2;3;3;0;2;1;1;3;3;2;3;0;2;1;3;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;2021-08-12 01:51:00;2029-06-11 16:27:18;Physics;Personal funds;;Lorem ipsum.;1672;International
52;2024-12-12 14:15:15;32;Not say;Germany;1;2;4;0;3;Lorem ipsum.;Yes more than one year;No unaware definition;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;5;5;3;3;0;4;1;2;0;0;3;3;0;4;1;1;0;Equal;Lorem ipsum.;3;5;3;0;1;2;3;5;4;2;3;3;5;2;25;Yes;<20;52;No;No;Yes;Yes;No;Yes;Yes;Yes;;0;2;0;3;3;3;1;1;3;2;1;2;1;3;3;3;1;2;2;3;0;No;No;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;;2020-06-12 10:16:38;2026-02-03 10:30:34;Chemical and Process Engineering;Personal funds;;Lorem ipsum.;1227;Germany
53;2024-12-08 22:12:55;34;Not say;International;2;4;5;1;5;Lorem ipsum.;No unaware graduation;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;1;5;4;3;4;4;3;3;5;0;5;3;0;3;0;0;2;Official;Lorem ipsum.;3;4;5;0;3;0;5;2;4;3;4;1;3;5;19;Yes;21-30;59;Yes;No;No;No;Yes;No;No;No;;1;1;0;3;1;1;3;2;3;2;0;2;1;0;1;3;2;3;3;0;0;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;2021-01-10 10:03:18;2029-03-18 09:26:02;Civil Engineering Sciences;Scholarship;;Lorem ipsum.;1814;International
54;2024-11-20 06:07:59;37;Woman;Austria;2;1;0;1;4;Lorem ipsum.;No unaware graduation;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;0;2;5;4;3;3;0;3;3;2;4;0;4;0;0;3;4;Unofficial;Lorem ipsum.;5;2;4;4;0;2;4;1;1;1;1;4;5;5;29;Yes;<20;13;No;Yes;No;Yes;No;Yes;Yes;Yes;;1;2;3;3;0;3;2;0;1;0;3;0;1;0;0;0;2;3;2;2;1;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;;2021-02-01 20:47:42;2027-03-31 23:52:47;Electrical Engineering;Second job;;Lorem ipsum.;605;Austria
55;2024-11-14 11:29:21;31;Other;Austria;1;4;2;2;3;Lorem ipsum.;No unaware existence;No unaware possibility;Yes;Yes;No;Yes;Yes;No;No;No;No;No;1;3;1;1;1;0;3;5;0;4;3;3;5;3;4;3;5;Official;Lorem ipsum.;3;5;5;5;4;0;3;0;2;2;1;4;5;3;13;Yes;No employee;17;No;No;Yes;Yes;Yes;No;No;No;;0;2;1;3;0;3;3;2;0;2;3;1;0;2;3;2;0;1;3;2;2;Yes;No;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;;2021-05-20 12:21:33;2024-05-11 16:57:01;Chemical and Process Engineering;Second job;;Lorem ipsum.;1117;Austria
56;2024-12-14 10:51:16;33;Woman;Germany;0;1;3;5;3;Lorem ipsum.;Yes year one;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;3;5;0;4;1;4;0;3;3;1;3;2;4;2;3;0;3;Official;Lorem ipsum.;4;2;1;5;1;2;4;4;5;3;3;2;4;3;27;No;21-30;15;No;Yes;No;No;Yes;Yes;No;Yes;;1;1;2;1;0;1;2;0;0;0;1;3;1;3;1;2;1;3;2;2;3;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;;2021-03-21 21:38:22;2025-11-17 16:44:54;Techno-Economics;Other;Lorem ipsum.;Lorem ipsum.;1524;Germany
57;2024-12-09 02:05:01;39;Man;International;5;2;0;2;4;Lorem ipsum.;No year one;No unaware possibility;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;1;5;2;4;3;5;4;5;0;5;0;5;4;4;2;3;3;Equal;Lorem ipsum.;0;0;1;5;4;4;1;2;5;1;4;4;5;1;8;Yes;31-40;44;No;Yes;Yes;Yes;No;No;Yes;No;;0;2;1;2;1;1;0;2;2;0;2;2;2;2;3;2;3;3;1;1;0;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;No;No;2019-04-12 06:12:02;2025-07-17 14:53:21;Chemical and Process Engineering;Personal funds;;Lorem ipsum.;1715;International
58;2024-12-06 08:47:38;28;Man;Austria;2;4;5;0;2;Lorem ipsum.;Yes year one;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;3;5;3;2;1;1;5;3;5;0;0;4;4;1;4;4;0;Equal;Lorem ipsum.;0;1;0;2;1;2;5;5;5;3;4;4;1;5;25;No;No employee;27;No;Yes;No;No;Yes;Yes;Yes;No;;0;2;3;3;0;1;2;3;0;0;2;1;1;0;0;2;0;1;2;2;2;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;;2021-07-15 07:13:32;2029-07-05 03:54:30;Physics;Scholarship;;Lorem ipsum.;595;Austria
59;2024-12-04 21:26:57;30;Other;Germany;5;0;1;1;5;Lorem ipsum.;Yes more than one year;No conflict supervisor;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;No;2;0;3;0;3;2;4;1;1;1;0;3;5;4;2;0;5;Equal;Lorem ipsum.;4;3;3;2;3;3;3;4;2;1;5;4;1;3;7;Yes;No employee;30;No;Yes;Yes;Yes;Yes;No;Yes;No;Lorem ipsum.;3;1;1;1;3;2;0;1;0;1;2;3;2;1;3;0;1;0;3;3;1;Yes;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;;2023-01-28 18:59:16;2028-04-08 12:23:02;Architecture;Personal funds;;Lorem ipsum.;1076;Germany
60;2024-12-04 17:29:11;37;Other;Austria;4;1;2;2;2;Lorem ipsum.;No unaware graduation;No unaware possibility;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;3;2;0;3;1;2;3;0;2;0;1;1;4;2;5;3;3;Equal;Lorem ipsum.;3;0;2;0;0;0;0;1;4;4;0;5;5;4;7;Yes;31-40;47;Yes;No;No;Yes;No;Yes;Yes;Yes;Lorem ipsum.;3;1;0;2;1;2;0;2;2;2;1;3;2;1;3;3;1;0;3;2;3;Yes;No;No;No;Yes;Yes;No;No;No;Yes;Yes;No;Yes;Yes;Yes;;2020-09-06 01:18:30;2027-08-20 16:08:49;Mathematics and Scientific Computing;ProjectAss TU;;Lorem ipsum.;970;Austria
61;2024-11-07 23:55:36;33;Man;International;4;2;0;0;0;Lorem ipsum.;Yes more than one year;No unaware definition;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;5;5;3;1;3;0;4;0;2;4;2;5;1;3;5;2;1;Equal;Lorem ipsum.;5;5;3;5;5;2;4;0;4;0;5;0;5;3;3;No;No employee;32;No;Yes;No;Yes;No;No;Yes;No;Lorem ipsum.;2;3;3;3;3;3;3;3;1;2;0;0;1;0;1;3;2;0;0;1;2;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;2019-08-05 21:23:05;2025-01-19 23:23:59;Computer Science;ProjectAss TU;;Lorem ipsum.;1046;International
62;2024-12-18 10:44:57;26;Man;Austria;3;3;3;2;0;Lorem ipsum.;Yes more than one year;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;3;1;0;0;0;4;1;5;0;0;3;0;5;0;5;0;3;Equal;Lorem ipsum.;3;5;2;4;4;3;4;0;0;5;4;2;0;1;16;Yes;31-40;32;No;Yes;No;Yes;Yes;No;Yes;Yes;Lorem ipsum.;0;1;0;0;3;2;2;3;3;1;3;2;2;2;2;2;2;3;1;3;0;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;Yes;No;No;;2021-09-05 20:59:55;2026-07-29 04:46:12;Computer Science;Not say;;Lorem ipsum.;1369;Austria
63;2024-11-07 19:42:25;38;Not say;Germany;5;5;2;1;0;Lorem ipsum.;Yes more than one year;No unaware possibility;No;No;No;No;Yes;Yes;Yes;No;Yes;No;5;1;4;3;2;4;5;0;0;4;1;1;3;0;1;4;5;Equal;Lorem ipsum.;2;2;3;3;1;4;3;5;5;2;1;4;1;1;17;Yes;No employee;53;Yes;Yes;No;Yes;No;Yes;No;Yes;Lorem ipsum.;1;3;1;1;0;3;0;3;2;3;1;2;3;2;2;0;1;2;0;3;2;Yes;No;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;;2023-08-01 21:51:37;2024-08-01 14:31:56;Architecture;Other;Lorem ipsum.;Lorem ipsum.;1574;Germany
64;2024-12-09 10:30:59;35;Woman;International;4;3;3;0;2;Lorem ipsum.;Yes more than one year;No conflict supervisor;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;4;5;0;3;3;5;1;5;5;3;0;5;2;0;4;0;5;Unofficial;Lorem ipsum.;5;3;5;1;2;1;2;3;0;0;2;3;5;3;4;Yes;No employee;16;Yes;No;Yes;Yes;Yes;No;No;Yes;;3;3;0;2;2;0;3;0;2;1;1;0;3;0;0;3;1;2;2;1;3;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;2023-05-01 19:39:09;2025-01-01 19:45:05;Physics;Personal funds;;Lorem ipsum.;992;International
65;2024-11-15 02:29:20;31;Not say;International;4;4;1;3;1;Lorem ipsum.;No year one;No need;Yes;Yes;No;No;No;No;No;Yes;No;No;1;2;2;4;1;1;3;2;3;3;4;1;5;3;5;3;4;Official;Lorem ipsum.;5;0;5;4;5;1;1;5;2;1;5;4;4;2;17;No;No employee;50;No;Yes;No;Yes;No;No;No;No;;3;3;1;1;3;1;2;1;0;1;0;3;2;2;0;2;0;3;0;3;1;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;2023-12-24 16:33:39;2024-07-14 04:43:33;Chemical and Process Engineering;Not say;;Lorem ipsum.;1300;International
66;2024-11-02 04:21:30;39;Man;International;3;2;4;4;4;Lorem ipsum.;Yes more than one year;Yes;Yes;No;No;Yes;No;Yes;No;No;Yes;Yes;2;2;1;5;3;0;1;4;5;3;4;2;3;1;3;4;4;Equal;Lorem ipsum.;1;3;1;3;2;1;1;4;2;5;5;2;0;5;18;Yes;No employee;56;Yes;Yes;No;No;Yes;Yes;Yes;No;Lorem ipsum.;2;0;1;0;0;2;2;3;1;3;2;1;1;1;0;2;1;2;2;2;0;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;No;Yes;2019-08-01 03:19:02;2024-12-27 04:08:23;Computer Science;Scholarship;;Lorem ipsum.;1487;International
67;2024-12-14 05:39:43;24;Not say;International;5;0;3;5;3;Lorem ipsum.;Yes year one;No conflict supervisor;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;3;3;1;0;5;3;3;0;5;4;4;2;2;4;2;3;2;Unofficial;Lorem ipsum.;4;0;5;0;2;0;3;0;1;3;3;2;4;4;21;No;21-30;51;Yes;Yes;No;No;No;No;Yes;No;;2;0;0;2;1;1;3;3;3;0;1;3;0;2;1;0;3;3;1;2;0;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;Yes;2022-11-24 18:42:16;2025-05-06 14:49:50;Molecular Biosciences and Biotechnology;Scholarship;;Lorem ipsum.;1402;International
68;2024-11-21 21:01:29;39;Other;Germany;2;5;2;3;2;Lorem ipsum.;Yes year one;No unaware definition;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;0;1;2;2;0;5;4;4;4;5;5;1;1;0;5;4;0;Unofficial;Lorem ipsum.;4;3;3;3;5;2;5;1;3;3;5;2;5;0;27;No;21-30;18;No;Yes;Yes;Yes;No;Yes;No;No;;0;3;3;2;3;2;1;0;2;0;1;1;1;1;3;0;3;3;1;0;1;No;Yes;No;No;No;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;;2020-03-27 16:53:50;2028-03-06 05:12:07;Molecular Biosciences and Biotechnology;UnivAss;;Lorem ipsum.;1637;Germany
69;2024-10-28 09:17:28;26;Man;Austria;1;2;3;0;5;Lorem ipsum.;No missing signature;No unaware definition;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;4;0;0;4;2;1;3;4;0;1;2;3;3;2;3;1;3;Official;Lorem ipsum.;4;3;4;5;5;4;5;4;1;1;3;5;3;5;4;No;No employee;42;Yes;Yes;Yes;No;Yes;Yes;No;No;Lorem ipsum.;1;3;0;0;2;3;1;0;1;2;2;3;3;2;2;1;0;2;1;1;3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;;2023-01-25 05:28:40;2024-02-29 04:14:48;Chemistry;Second job;;Lorem ipsum.;1158;Austria
70;2024-11-18 23:48:45;26;Not say;Austria;3;2;3;3;0;Lorem ipsum.;Yes year one;No unaware definition;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;5;0;0;0;1;0;5;2;2;1;3;5;2;0;2;2;1;Equal;Lorem ipsum.;5;0;3;2;5;0;1;1;0;4;5;0;2;0;12;Yes;31-40;60;Yes;Yes;Yes;No;No;Yes;Yes;Yes;;3;0;0;3;2;1;1;0;1;0;3;0;1;3;1;0;3;1;0;3;3;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;;2021-04-28 10:38:04;2028-06-06 11:50:14;Electrical Engineering;UnivAss;;Lorem ipsum.;603;Austria
71;2024-12-02 00:38:39;28;Woman;Germany;2;1;4;5;2;Lorem ipsum.;Yes year one;No conflict supervisor;Yes;Yes;No;No;Yes;No;Yes;No;No;No;4;3;1;3;5;4;1;3;3;0;5;1;0;5;3;5;4;Equal;Lorem ipsum.;2;0;1;4;4;3;3;4;4;2;0;0;2;4;7;No;31-40;3;No;No;No;No;Yes;Yes;Yes;Yes;;1;3;3;1;3;3;0;0;0;3;1;0;3;2;3;3;0;0;0;3;3;No;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;;2018-05-05 13:37:09;2029-05-20 20:11:47;Not say;UnivAss;;Lorem ipsum.;1691;Germany
